name,well,plate,date,index,rtdp_fluor,concentration,fold_dilution,replicate,blanked_rtdp_fluor,u_blanked_rtdp_fluor
DMSO,E9,6,1/10/22,226.0,1.0,44062.5,16.0,3.0,0.5833333333333333,0.6423296759355063
DMSO,F7,2,11/23/21,266.0,1.0,22031.25,32.0,1.0,0.01388888888888884,0.16666666666666666
DMSO,F8,2,11/23/21,270.0,1.0,22031.25,32.0,2.0,0.01388888888888884,0.16666666666666666
DMSO,F8,6,1/10/22,270.0,1.0,22031.25,32.0,2.0,0.5833333333333333,0.6423296759355063
DMSO,F9,2,11/23/21,274.0,1.0,22031.25,32.0,3.0,0.01388888888888884,0.16666666666666666
DMSO,F9,6,1/10/22,274.0,1.0,22031.25,32.0,3.0,0.5833333333333333,0.6423296759355063
DMSO,G7,2,11/23/21,314.0,1.0,11015.625,64.0,1.0,0.01388888888888884,0.16666666666666666
DMSO,G8,2,11/23/21,318.0,1.0,11015.625,64.0,2.0,0.01388888888888884,0.16666666666666666
DMSO,G8,6,1/10/22,318.0,1.0,11015.625,64.0,2.0,0.5833333333333333,0.6423296759355063
DMSO,G9,2,11/23/21,322.0,1.0,11015.625,64.0,3.0,0.01388888888888884,0.16666666666666666
DMSO,G9,6,1/10/22,322.0,1.0,11015.625,64.0,3.0,0.5833333333333333,0.6423296759355063
DMSO,H7,2,11/23/21,362.0,1.0,5507.8125,128.0,1.0,0.01388888888888884,0.16666666666666666
DMSO,H8,2,11/23/21,366.0,1.0,5507.8125,128.0,2.0,0.01388888888888884,0.16666666666666666
DMSO,H8,6,1/10/22,366.0,0.6666666666666666,5507.8125,128.0,2.0,0.24999999999999992,0.8636670341750609
DMSO,H9,2,11/23/21,370.0,1.0,5507.8125,128.0,3.0,0.01388888888888884,0.16666666666666666
DMSO,H9,6,1/10/22,370.0,1.0,5507.8125,128.0,3.0,0.5833333333333333,0.6423296759355063
FAD,A4,5,1/10/22,14.0,1160.3333333333333,500.0,1.0,1.0,1159.9166666666667,3.2780971227101574
FAD,A5,5,1/10/22,18.0,1199.6666666666667,500.0,1.0,2.0,1199.25,5.074043825778487
FAD,A6,5,1/10/22,22.0,1216.6666666666667,500.0,1.0,3.0,1216.25,3.840041763564675
FAD,B4,5,1/10/22,62.0,1048.0,250.0,2.0,1.0,1047.5833333333333,1.1885232065834526
FAD,B5,5,1/10/22,66.0,974.3333333333334,250.0,2.0,2.0,973.9166666666666,4.663252164093306
FAD,B6,5,1/10/22,70.0,1025.6666666666667,250.0,2.0,3.0,1025.25,0.8636670341750828
FAD,C4,5,1/10/22,110.0,615.6666666666666,125.0,4.0,1.0,615.25,1.3213329428727583
FAD,C5,5,1/10/22,114.0,778.3333333333334,125.0,4.0,2.0,777.9166666666666,2.178513425692119
FAD,C6,5,1/10/22,118.0,656.0,125.0,4.0,3.0,655.5833333333334,1.1885232065834526
FAD,D4,5,1/10/22,158.0,406.6666666666667,62.5,8.0,1.0,406.25,1.6570819973437554
FAD,D5,5,1/10/22,162.0,390.3333333333333,62.5,8.0,2.0,389.9166666666667,0.8636670341750582
FAD,D6,5,1/10/22,166.0,436.6666666666667,62.5,8.0,3.0,436.25,1.3213329428727476
FAD,E4,5,1/10/22,206.0,224.33333333333334,31.25,16.0,1.0,223.91666666666666,0.8636670341750582
FAD,E5,5,1/10/22,210.0,225.0,31.25,16.0,2.0,224.58333333333334,1.1885232065834526
FAD,E6,5,1/10/22,214.0,245.33333333333334,31.25,16.0,3.0,244.91666666666666,0.8636670341750582
FAD,F4,5,1/10/22,254.0,106.33333333333333,15.625,32.0,1.0,105.91666666666667,0.8636670341750623
FAD,F5,5,1/10/22,258.0,117.33333333333333,15.625,32.0,2.0,116.91666666666667,0.8636670341750602
FAD,F6,5,1/10/22,262.0,119.0,15.625,32.0,3.0,118.58333333333333,0.6423296759355063
FAD,G4,5,1/10/22,302.0,52.0,7.8125,64.0,1.0,51.583333333333336,0.6423296759355063
FAD,G5,5,1/10/22,306.0,62.666666666666664,7.8125,64.0,2.0,62.25,0.8636670341750613
FAD,G6,5,1/10/22,310.0,59.0,7.8125,64.0,3.0,58.583333333333336,0.6423296759355063
FAD,H4,5,1/10/22,350.0,25.333333333333332,3.90625,128.0,1.0,24.916666666666668,0.8636670341750613
FAD,H5,5,1/10/22,354.0,24.0,3.90625,128.0,2.0,23.583333333333332,0.6423296759355063
FAD,H6,5,1/10/22,358.0,31.333333333333332,3.90625,128.0,3.0,30.916666666666668,0.8636670341750607
GLUCOSE,A1,3,12/7/21,2.0,0.0,10000.0,1.0,1.0,-1.0,0.0
GLUCOSE,A2,3,12/7/21,6.0,0.0,10000.0,1.0,2.0,-1.0,0.0
GLUCOSE,A3,3,12/7/21,10.0,0.0,10000.0,1.0,3.0,-1.0,0.0
GLUCOSE,B1,3,12/7/21,50.0,0.0,5000.0,2.0,1.0,-1.0,0.0
GLUCOSE,B2,3,12/7/21,54.0,0.0,5000.0,2.0,2.0,-1.0,0.0
GLUCOSE,B3,3,12/7/21,58.0,0.0,5000.0,2.0,3.0,-1.0,0.0
GLUCOSE,C1,3,12/7/21,98.0,0.0,2500.0,4.0,1.0,-1.0,0.0
GLUCOSE,C2,3,12/7/21,102.0,0.0,2500.0,4.0,2.0,-1.0,0.0
GLUCOSE,C3,3,12/7/21,106.0,0.0,2500.0,4.0,3.0,-1.0,0.0
GLUCOSE,D1,3,12/7/21,146.0,0.0,1250.0,8.0,1.0,-1.0,0.0
GLUCOSE,D2,3,12/7/21,150.0,0.0,1250.0,8.0,2.0,-1.0,0.0
GLUCOSE,D3,3,12/7/21,154.0,0.3333333333333333,1250.0,8.0,3.0,-0.6666666666666666,0.5773502691896258
GLUCOSE,E1,3,12/7/21,194.0,0.0,625.0,16.0,1.0,-1.0,0.0
GLUCOSE,E2,3,12/7/21,198.0,0.0,625.0,16.0,2.0,-1.0,0.0
GLUCOSE,E3,3,12/7/21,202.0,0.0,625.0,16.0,3.0,-1.0,0.0
GLUCOSE,F1,3,12/7/21,242.0,0.3333333333333333,312.5,32.0,1.0,-0.6666666666666666,0.5773502691896258
GLUCOSE,F2,3,12/7/21,246.0,0.0,312.5,32.0,2.0,-1.0,0.0
GLUCOSE,F3,3,12/7/21,250.0,0.3333333333333333,312.5,32.0,3.0,-0.6666666666666666,0.5773502691896258
GLUCOSE,G1,3,12/7/21,290.0,0.6666666666666666,156.25,64.0,1.0,-0.3333333333333333,0.5773502691896258
GLUCOSE,G2,3,12/7/21,294.0,0.0,156.25,64.0,2.0,-1.0,0.0
GLUCOSE,G3,3,12/7/21,298.0,0.0,156.25,64.0,3.0,-1.0,0.0
