,index,time_s,well,rtdp_fluor,concentration,fold_dilution,media,name,replicate,plate,date,blanked_rtdp_fluor,u_blanked_rtdp_fluor
929,161,74.67,D5,0,1250.0,8,25 mM HEPES pH 7,ACETATE,2,3,12/7/21,-1.0,0.0
930,162,149.363,D5,0,1250.0,8,25 mM HEPES pH 7,ACETATE,2,3,12/7/21,-1.0,0.0
931,163,224.03,D5,0,1250.0,8,25 mM HEPES pH 7,ACETATE,2,3,12/7/21,-1.0,0.0
933,165,74.67,D6,0,1250.0,8,25 mM HEPES pH 7,ACETATE,3,3,12/7/21,-1.0,0.0
934,166,149.363,D6,0,1250.0,8,25 mM HEPES pH 7,ACETATE,3,3,12/7/21,-1.0,0.0
935,167,224.03,D6,0,1250.0,8,25 mM HEPES pH 7,ACETATE,3,3,12/7/21,-1.0,0.0
937,169,74.67,D7,0,62.5,8,25 mM HEPES pH 7,GLUTAMATE,1,3,12/7/21,-1.0,0.0
938,170,149.363,D7,0,62.5,8,25 mM HEPES pH 7,GLUTAMATE,1,3,12/7/21,-1.0,0.0
939,171,224.03,D7,0,62.5,8,25 mM HEPES pH 7,GLUTAMATE,1,3,12/7/21,-1.0,0.0
941,173,74.67,D8,0,62.5,8,25 mM HEPES pH 7,GLUTAMATE,2,3,12/7/21,-1.0,0.0
942,174,149.363,D8,0,62.5,8,25 mM HEPES pH 7,GLUTAMATE,2,3,12/7/21,-1.0,0.0
943,175,224.03,D8,1,62.5,8,25 mM HEPES pH 7,GLUTAMATE,2,3,12/7/21,0.0,0.0
945,177,74.67,D9,0,62.5,8,25 mM HEPES pH 7,GLUTAMATE,3,3,12/7/21,-1.0,0.0
946,178,149.363,D9,0,62.5,8,25 mM HEPES pH 7,GLUTAMATE,3,3,12/7/21,-1.0,0.0
947,179,224.03,D9,0,62.5,8,25 mM HEPES pH 7,GLUTAMATE,3,3,12/7/21,-1.0,0.0
949,181,74.67,D10,0,62.5,8,25 mM HEPES pH 7,4-AMINO-SAL,1,3,12/7/21,-1.0,0.0
950,182,149.363,D10,0,62.5,8,25 mM HEPES pH 7,4-AMINO-SAL,1,3,12/7/21,-1.0,0.0
951,183,224.03,D10,0,62.5,8,25 mM HEPES pH 7,4-AMINO-SAL,1,3,12/7/21,-1.0,0.0
953,185,74.67,D11,0,62.5,8,25 mM HEPES pH 7,4-AMINO-SAL,2,3,12/7/21,-1.0,0.0
954,186,149.363,D11,0,62.5,8,25 mM HEPES pH 7,4-AMINO-SAL,2,3,12/7/21,-1.0,0.0
955,187,224.03,D11,0,62.5,8,25 mM HEPES pH 7,4-AMINO-SAL,2,3,12/7/21,-1.0,0.0
