,time_s,well,pt_fluor,concentration,fold_dilution,media,name,replicate,plate,date,blanked_pt_fluor,u_blanked_pt_fluor
258,280.06,F5,627,15.625,32,25 mM HEPES pH 7,PMS,2,1,9/29/22,562.7152777777778,4.018598709330847
259,420.092,F5,629,15.625,32,25 mM HEPES pH 7,PMS,2,1,9/29/22,564.7152777777778,4.018598709330847
261,140.037,F6,664,15.625,32,25 mM HEPES pH 7,PMS,3,1,9/29/22,599.7152777777778,4.018598709330847
262,280.06,F6,661,15.625,32,25 mM HEPES pH 7,PMS,3,1,9/29/22,596.7152777777778,4.018598709330847
263,420.092,F6,652,15.625,32,25 mM HEPES pH 7,PMS,3,1,9/29/22,587.7152777777778,4.018598709330847
265,140.037,F7,63,15.625,32,25 mM HEPES pH 7,AQDS,1,1,9/29/22,-1.2847222222222285,4.018598709330847
266,280.06,F7,62,15.625,32,25 mM HEPES pH 7,AQDS,1,1,9/29/22,-2.2847222222222285,4.018598709330847
267,420.092,F7,62,15.625,32,25 mM HEPES pH 7,AQDS,1,1,9/29/22,-2.2847222222222285,4.018598709330847
269,140.037,F8,68,15.625,32,25 mM HEPES pH 7,AQDS,2,1,9/29/22,3.7152777777777715,4.018598709330847
270,280.06,F8,66,15.625,32,25 mM HEPES pH 7,AQDS,2,1,9/29/22,1.7152777777777715,4.018598709330847
271,420.092,F8,69,15.625,32,25 mM HEPES pH 7,AQDS,2,1,9/29/22,4.7152777777777715,4.018598709330847
273,140.037,F9,65,15.625,32,25 mM HEPES pH 7,AQDS,3,1,9/29/22,0.7152777777777715,4.018598709330847
274,280.06,F9,62,15.625,32,25 mM HEPES pH 7,AQDS,3,1,9/29/22,-2.2847222222222285,4.018598709330847
275,420.092,F9,64,15.625,32,25 mM HEPES pH 7,AQDS,3,1,9/29/22,-0.28472222222222854,4.018598709330847
277,140.037,F10,65,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,0.7152777777777715,4.018598709330847
278,280.06,F10,64,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-0.28472222222222854,4.018598709330847
