name,well,plate,date,rtdp_fluor,concentration,fold_dilution,replicate,blanked_rtdp_fluor,u_blanked_rtdp_fluor
PO,G6,2,5/27/22,20.25,0.5,2.0,2.0,19.182291666666668,0.5598699908298023
PO,G7,2,5/27/22,17.25,0.25,4.0,2.0,16.182291666666668,0.9900106430228064
PO,G8,2,5/27/22,11.25,0.125,8.0,2.0,10.182291666666666,0.5598699908298022
PO,H5,2,5/27/22,32.25,1.0,1.0,2.0,31.182291666666668,0.5598699908298017
PO,H6,2,5/27/22,19.25,0.5,2.0,2.0,18.182291666666668,0.5598699908298023
PO,H7,2,5/27/22,17.25,0.25,4.0,2.0,16.182291666666668,0.9900106430228064
PO,H8,2,5/27/22,11.0,0.125,8.0,2.0,9.932291666666666,0.25190158124109224
PS,A5,1,5/27/22,12.0,1.0,1.0,1.0,10.932291666666666,0.25190158124109224
PS,A6,1,5/27/22,8.0,0.5,2.0,1.0,6.932291666666667,0.25190158124109224
PS,A7,1,5/27/22,6.0,0.25,4.0,1.0,4.932291666666667,0.25190158124109224
PS,A8,1,5/27/22,3.0,0.125,8.0,1.0,1.9322916666666667,0.25190158124109224
PS,B5,1,5/27/22,13.0,1.0,1.0,1.0,11.932291666666666,0.25190158124109224
PS,B6,1,5/27/22,8.0,0.5,2.0,1.0,6.932291666666667,0.25190158124109224
PS,B7,1,5/27/22,6.25,0.25,4.0,1.0,5.182291666666667,0.559869990829802
PS,B8,1,5/27/22,3.75,0.125,8.0,1.0,2.682291666666667,0.559869990829802
PS,C5,1,5/27/22,13.0,1.0,1.0,2.0,11.932291666666666,0.25190158124109224
PS,C6,1,5/27/22,8.25,0.5,2.0,2.0,7.182291666666667,0.5598699908298019
PS,C7,1,5/27/22,6.25,0.25,4.0,2.0,5.182291666666667,0.559869990829802
PS,C8,1,5/27/22,4.0,0.125,8.0,2.0,2.932291666666667,0.25190158124109224
PS,D5,1,5/27/22,13.25,1.0,1.0,2.0,12.182291666666666,0.5598699908298022
PS,D6,1,5/27/22,9.0,0.5,2.0,2.0,7.932291666666667,0.25190158124109224
PS,D7,1,5/27/22,6.0,0.25,4.0,2.0,4.932291666666667,0.25190158124109224
PS,D8,1,5/27/22,4.0,0.125,8.0,2.0,2.932291666666667,0.25190158124109224
