name,well,plate,date,rtdp_fluor,concentration,fold_dilution,replicate,blanked_rtdp_fluor,expected_blanked_rtdp_fluor,estimated_true_rtdp_fluor,F0_F_ratio,F_F0_ratio,u_blanked_rtdp_fluor,u_expected_blanked_rtdp_fluor,u_estimated_true_rtdp_fluor,u_F0_F_ratio,u_F_F0_ratio
CG,B9,1,5/27/22,2888.75,0.900900901,1.0,1.0,2887.6822916666665,4043.1902683933936,2879.1847316066064,1.4013316561601608,0.71360694351267,60.99983705776023,161.84907292670044,61.122029951195216,0.0635996033993467,0.032387135758273816
CG,C10,1,5/27/22,3297.25,0.45045045,2.0,2.0,3296.1822916666665,4039.1362143393394,3291.7387856606606,1.2257025757660658,0.8158586102138184,44.24530243698149,161.84823714338478,44.244592398344786,0.051854671590956525,0.03451577987494267
CG,C11,1,5/27/22,3737.0,0.225225225,4.0,2.0,3735.9322916666665,4038.0100882132133,3732.6149117867867,1.080929269074249,0.925129912391437,37.51528738714341,161.84886398127614,37.91525935733535,0.04472909226986363,0.038282080425490854
CG,C12,1,5/27/22,3751.0,0.112612613,8.0,2.0,3749.9322916666665,4036.433511636637,3748.191488363363,1.0764371886707076,0.9289905723481183,20.993573327885333,161.84823714338478,20.992076834582317,0.043599132406044336,0.037627075127151556
CG,C9,1,5/27/22,3080.0,0.900900901,1.0,2.0,3078.9322916666665,4043.865944069069,3069.759055930931,1.314335306068436,0.7608408565020554,65.5494479082265,161.84886398127614,65.16916713897339,0.05965155351733952,0.03453102025051104
CG,D10,1,5/27/22,3448.25,0.45045045,2.0,2.0,3447.1822916666665,4040.0371152402404,3441.8378847597596,1.1722494909474666,0.8530607244638284,40.045558901580584,161.84823714338478,40.04477439686318,0.0489617002926966,0.035630046201948304
CG,D11,1,5/27/22,3415.25,0.225225225,4.0,2.0,3414.1822916666665,4037.334412537538,3411.540587462462,1.182660034343715,0.8455515287239098,25.317585214101644,161.84823714338478,25.31634432197918,0.048246288808285354,0.03449404061391054
CG,D12,1,5/27/22,3780.25,0.112612613,8.0,2.0,3779.1822916666665,4036.433511636637,3777.441488363363,1.0681019734554322,0.9362401950863225,11.327552886949228,161.84823714338478,11.324779166162179,0.04296544590246451,0.03766117697878468
CG,D9,1,5/27/22,3005.75,0.900900901,1.0,2.0,3004.6822916666665,4043.640718843844,2995.734281156156,1.3468126107553864,0.7424937901636741,39.4923636636245,161.84823714338478,39.49156816961917,0.05686870913666125,0.031351550357783364
CS,A1,2,5/27/22,2653.5,0.900900901,1.0,1.0,2652.4322916666665,4079.4515296546547,2607.6734703453453,1.5472384691627061,0.6463127823735882,11.848915044845503,161.84886398127614,11.402909786255439,0.06243376354429175,0.026079844984853814
CS,A2,2,5/27/22,3083.5,0.45045045,2.0,1.0,3082.4322916666665,4063.235313438439,3053.889686561561,1.3211651770159645,0.7569076277491957,21.750021940371322,161.84886398127614,21.34211355636876,0.05379560725216662,0.03081999599817854
CS,A3,2,5/27/22,2782.75,0.225225225,4.0,1.0,2781.6822916666665,4046.343421546547,2770.031578453453,1.4565511598196141,0.6865532962974294,8.345465100278386,161.84823714338478,8.34169985648451,0.05859265276590352,0.027617964960615356
CS,A4,2,5/27/22,3404.5,0.112612613,8.0,1.0,3403.4322916666665,4042.7398179429433,3395.3851820570567,1.1882871874609995,0.8415474058393992,15.418499313269706,161.84823714338478,15.416461650748772,0.047971444007659854,0.033973474329277935
CS,B1,2,5/27/22,2886.25,0.900900901,1.0,1.0,2885.1822916666665,4087.1091873123123,2832.7658126876877,1.4242944793608883,0.7021019982108768,29.65883995944494,161.85220707569593,28.767442049042256,0.058936719109910454,0.029052691599021865
CS,B2,2,5/27/22,3212.25,0.45045045,2.0,1.0,3211.1822916666665,4064.811890015015,3181.063109984985,1.2683472690840067,0.7884276052584513,12.260238758141366,161.84907292670044,12.642407732814627,0.05112770731675945,0.03178190770357369
CS,B3,2,5/27/22,2680.75,0.225225225,4.0,1.0,2679.6822916666665,4047.2443224474478,2667.1306775525522,1.5127465415514254,0.6610492719913484,11.089640258966854,161.84823714338478,11.086807016856007,0.061007409583498255,0.02665939242530971
CS,B4,2,5/27/22,3520.75,0.112612613,8.0,1.0,3519.6822916666665,4043.1902683933936,3511.1847316066064,1.1490972468677791,0.8702483647278854,17.25244294991191,161.84907292670044,17.336585592597427,0.04644287254409596,0.03517268359569543
CS,C1,2,5/27/22,2720.5,0.900900901,1.0,2.0,2719.4322916666665,4082.8299080330335,2671.2950919669665,1.510388245935963,0.6620814235616064,30.655017877556386,161.85074448038404,29.963916126227534,0.06291201876349696,0.02757759738540533
CS,C2,2,5/27/22,3130.0,0.45045045,2.0,2.0,3128.9322916666665,4065.9380161411414,3097.6869838588586,1.3024856059882544,0.7677628032144393,21.088625395537246,161.84886398127614,21.06345162208963,0.052993362299805516,0.03123745260907242
CS,C3,2,5/27/22,2703.75,0.225225225,4.0,2.0,2702.6822916666665,4047.694772897898,2689.680227102102,1.500064084822591,0.6666381857400896,9.503339118785131,161.84907292670044,9.111183044254835,0.06038789497259472,0.026836771276978276
CS,C4,2,5/27/22,3635.75,0.112612613,8.0,2.0,3634.6822916666665,4043.640718843844,3625.734281156156,1.1127932704011532,0.8986395106788414,16.76246166508065,161.84823714338478,16.76058739510664,0.04493412318145924,0.03628668463641301
CS,D1,2,5/27/22,2853.75,0.900900901,1.0,2.0,2852.6822916666665,4086.4335116366365,2800.9414883633635,1.4404773270329438,0.6942143282878134,17.67239243584835,161.85074448038404,16.850315025733355,0.05842965371600695,0.028159209482385438
CS,D2,2,5/27/22,3195.25,0.45045045,2.0,2.0,3194.1822916666665,4064.811890015015,3164.063109984985,1.2751618940851277,0.784214149308042,5.914399468525791,161.85074448038404,6.002433886562314,0.051209144234652476,0.031493205426737655
CS,D3,2,5/27/22,3104.0,0.225225225,4.0,2.0,3102.9322916666665,4049.2713494744744,3088.3536505255256,1.3064218560742793,0.7654495332808814,17.871675571696287,161.84886398127614,17.992805959832623,0.05295576982927162,0.03102747333250451
CS,D4,2,5/27/22,3544.25,0.112612613,8.0,2.0,3543.1822916666665,4043.640718843844,3534.234281156156,1.1416030708109883,0.8759612036516385,18.1928590681426,161.84823714338478,18.19113217556861,0.046169822655128284,0.03542647568093733
EC WT,E1,1,5/27/22,3126.75,0.900900901,1.0,1.0,3125.6822916666665,4061.658736861862,3098.716263138138,1.302052968298334,0.7680179104440813,44.88110353374387,161.84823714338478,44.88040355391588,0.05553090876578171,0.03275499042953271
EC WT,E2,1,5/27/22,3625.75,0.45045045,2.0,1.0,3624.6822916666665,4051.523601726727,3607.851398273273,1.1183090052612332,0.8942072318968792,20.387417387691926,161.84886398127614,20.585063032741637,0.04531146660917551,0.03623134655909693
EC WT,E3,1,5/27/22,3638.5,0.225225225,4.0,1.0,3637.4322916666665,4043.4154936186187,3628.7095063813813,1.1118808769999355,0.899376921292314,17.99250180139761,161.84886398127614,18.351651379378048,0.0449551743743709,0.03636328959454095
EC WT,E4,1,5/27/22,3843.75,0.112612613,8.0,1.0,3842.6822916666665,4039.1362143393394,3838.2387856606606,1.0511833509177722,0.9513088265019755,20.967755906151787,161.84823714338478,20.96625757009754,0.04255643843940513,0.038513086681355654
EC WT,F1,1,5/27/22,3383.0,0.900900901,1.0,1.0,3381.9322916666665,4064.1362143393394,3352.4887856606606,1.2034917836535683,0.830915518977781,33.794429339857686,161.84886398127614,34.21157343646836,0.049814671764561703,0.03439307555245715
