name,well,plate,date,index,rtdp_fluor,concentration,fold_dilution,replicate,blanked_rtdp_fluor,u_blanked_rtdp_fluor
PA14 dphz,G4,1,12/3/21,302.0,3.0,0.125,8.0,2.0,1.9861111111111114,0.11785113019775789
PA14 dphz,G5,1,12/3/21,306.0,2.0,0.0625,16.0,2.0,0.9861111111111112,0.11785113019775789
PA14 dphz,G6,1,12/3/21,310.0,2.0,0.03125,32.0,2.0,0.9861111111111112,0.11785113019775789
PA14 dphz,H1,1,12/3/21,338.0,14.0,1.0,1.0,2.0,12.986111111111109,0.11785113019775789
PA14 dphz,H2,1,12/3/21,342.0,7.333333333333333,0.5,2.0,2.0,6.319444444444444,0.5892556509887897
PA14 dphz,H3,1,12/3/21,346.0,5.0,0.25,4.0,2.0,3.986111111111111,0.11785113019775789
PA14 dphz,H4,1,12/3/21,350.0,3.3333333333333335,0.125,8.0,2.0,2.3194444444444446,0.5892556509887896
PA14 dphz,H5,1,12/3/21,354.0,2.6666666666666665,0.0625,16.0,2.0,1.652777777777778,0.5892556509887896
PA14 dphz,H6,1,12/3/21,358.0,2.0,0.03125,32.0,2.0,0.9861111111111112,0.11785113019775789
PA14 dphz dside,E10,1,12/3/21,230.0,3.3333333333333335,0.125,8.0,1.0,2.3194444444444446,0.5892556509887896
PA14 dphz dside,E11,1,12/3/21,234.0,2.0,0.0625,16.0,1.0,0.9861111111111112,0.11785113019775789
PA14 dphz dside,E12,1,12/3/21,238.0,2.0,0.03125,32.0,1.0,0.9861111111111112,0.11785113019775789
PA14 dphz dside,E7,1,12/3/21,218.0,14.0,1.0,1.0,1.0,12.986111111111109,0.11785113019775789
PA14 dphz dside,E8,1,12/3/21,222.0,9.0,0.5,2.0,1.0,7.986111111111111,0.11785113019775789
PA14 dphz dside,E9,1,12/3/21,226.0,5.666666666666667,0.25,4.0,1.0,4.652777777777778,0.5892556509887894
PA14 dphz dside,F10,1,12/3/21,278.0,3.3333333333333335,0.125,8.0,1.0,2.3194444444444446,0.5892556509887896
PA14 dphz dside,F11,1,12/3/21,282.0,2.6666666666666665,0.0625,16.0,1.0,1.652777777777778,0.5892556509887896
PA14 dphz dside,F12,1,12/3/21,286.0,2.0,0.03125,32.0,1.0,0.9861111111111112,0.11785113019775789
PA14 dphz dside,F7,1,12/3/21,266.0,16.0,1.0,1.0,1.0,14.986111111111109,0.11785113019775789
PA14 dphz dside,F8,1,12/3/21,270.0,9.0,0.5,2.0,1.0,7.986111111111111,0.11785113019775789
PA14 dphz dside,F9,1,12/3/21,274.0,5.0,0.25,4.0,1.0,3.986111111111111,0.11785113019775789
PA14 dphz dside,G10,1,12/3/21,326.0,3.3333333333333335,0.125,8.0,2.0,2.3194444444444446,0.5892556509887896
PA14 dphz dside,G11,1,12/3/21,330.0,2.0,0.0625,16.0,2.0,0.9861111111111112,0.11785113019775789
PA14 dphz dside,G12,1,12/3/21,334.0,2.0,0.03125,32.0,2.0,0.9861111111111112,0.11785113019775789
PA14 dphz dside,G7,1,12/3/21,314.0,14.0,1.0,1.0,2.0,12.986111111111109,0.11785113019775789
PA14 dphz dside,G8,1,12/3/21,318.0,8.0,0.5,2.0,2.0,6.986111111111111,0.11785113019775789
PA14 dphz dside,G9,1,12/3/21,322.0,4.666666666666667,0.25,4.0,2.0,3.652777777777778,0.5892556509887897
PA14 dphz dside,H10,1,12/3/21,374.0,3.3333333333333335,0.125,8.0,2.0,2.3194444444444446,0.5892556509887897
PA14 dphz dside,H11,1,12/3/21,378.0,2.3333333333333335,0.0625,16.0,2.0,1.3194444444444444,0.5892556509887896
PA14 dphz dside,H12,1,12/3/21,382.0,2.0,0.03125,32.0,2.0,0.9861111111111112,0.11785113019775789
PA14 dphz dside,H7,1,12/3/21,362.0,15.666666666666666,1.0,1.0,2.0,14.652777777777777,0.5892556509887897
PA14 dphz dside,H8,1,12/3/21,366.0,8.0,0.5,2.0,2.0,6.986111111111111,0.11785113019775789
PA14 dphz dside,H9,1,12/3/21,370.0,4.666666666666667,0.25,4.0,2.0,3.652777777777778,0.5892556509887897
PA14 dside,A10,1,12/3/21,38.0,4.0,0.125,8.0,1.0,2.986111111111111,0.11785113019775789
PA14 dside,A11,1,12/3/21,42.0,3.0,0.0625,16.0,1.0,1.9861111111111114,0.11785113019775789
PA14 dside,A12,1,12/3/21,46.0,2.0,0.03125,32.0,1.0,0.9861111111111112,0.11785113019775789
PA14 dside,A7,1,12/3/21,26.0,24.0,1.0,1.0,1.0,22.98611111111111,0.11785113019775789
PA14 dside,A8,1,12/3/21,30.0,12.0,0.5,2.0,1.0,10.986111111111109,0.11785113019775789
PA14 dside,A9,1,12/3/21,34.0,7.0,0.25,4.0,1.0,5.986111111111111,0.11785113019775789
PA14 dside,B10,1,12/3/21,86.0,3.3333333333333335,0.125,8.0,1.0,2.3194444444444446,0.5892556509887896
PA14 dside,B11,1,12/3/21,90.0,3.0,0.0625,16.0,1.0,1.9861111111111114,0.11785113019775789
PA14 dside,B12,1,12/3/21,94.0,1.6666666666666667,0.03125,32.0,1.0,0.6527777777777778,0.5892556509887897
PA14 dside,B7,1,12/3/21,74.0,26.0,1.0,1.0,1.0,24.98611111111111,0.11785113019775789
PA14 dside,B8,1,12/3/21,78.0,12.0,0.5,2.0,1.0,10.986111111111109,0.11785113019775789
PA14 dside,B9,1,12/3/21,82.0,7.0,0.25,4.0,1.0,5.986111111111111,0.11785113019775789
PA14 dside,C10,1,12/3/21,134.0,4.333333333333333,0.125,8.0,2.0,3.3194444444444446,0.5892556509887896
PA14 dside,C11,1,12/3/21,138.0,3.0,0.0625,16.0,2.0,1.9861111111111114,0.11785113019775789
PA14 dside,C12,1,12/3/21,142.0,2.0,0.03125,32.0,2.0,0.9861111111111112,0.11785113019775789
PA14 dside,C7,1,12/3/21,122.0,34.0,1.0,1.0,2.0,32.986111111111114,0.11785113019775789
PA14 dside,C8,1,12/3/21,126.0,15.0,0.5,2.0,2.0,13.986111111111109,0.11785113019775789
PA14 dside,C9,1,12/3/21,130.0,10.0,0.25,4.0,2.0,8.98611111111111,0.11785113019775789
PA14 dside,D10,1,12/3/21,182.0,5.0,0.125,8.0,2.0,3.986111111111111,0.11785113019775789
PA14 dside,D11,1,12/3/21,186.0,3.0,0.0625,16.0,2.0,1.9861111111111114,0.11785113019775789
PA14 dside,D12,1,12/3/21,190.0,2.0,0.03125,32.0,2.0,0.9861111111111112,0.11785113019775789
PA14 dside,D7,1,12/3/21,170.0,33.0,1.0,1.0,2.0,31.98611111111111,0.11785113019775789
PA14 dside,D8,1,12/3/21,174.0,16.666666666666668,0.5,2.0,2.0,15.652777777777777,0.5892556509887897
PA14 dside,D9,1,12/3/21,178.0,9.0,0.25,4.0,2.0,7.986111111111111,0.11785113019775789
