,index,time_s,well,rtdp_fluor,concentration,fold_dilution,media,name,replicate,plate,date,blanked_rtdp_fluor,u_blanked_rtdp_fluor
201,201,74.668,E3,5,0.25,4,MM noC,PA14 dphz,1,1,12/3/21,3.986111111111111,0.11785113019775789
202,202,149.35,E3,6,0.25,4,MM noC,PA14 dphz,1,1,12/3/21,4.986111111111111,0.11785113019775789
203,203,224.037,E3,5,0.25,4,MM noC,PA14 dphz,1,1,12/3/21,3.986111111111111,0.11785113019775789
205,205,74.668,E4,4,0.125,8,MM noC,PA14 dphz,1,1,12/3/21,2.986111111111111,0.11785113019775789
206,206,149.35,E4,4,0.125,8,MM noC,PA14 dphz,1,1,12/3/21,2.986111111111111,0.11785113019775789
207,207,224.037,E4,4,0.125,8,MM noC,PA14 dphz,1,1,12/3/21,2.986111111111111,0.11785113019775789
209,209,74.668,E5,2,0.0625,16,MM noC,PA14 dphz,1,1,12/3/21,0.9861111111111112,0.11785113019775789
210,210,149.35,E5,2,0.0625,16,MM noC,PA14 dphz,1,1,12/3/21,0.9861111111111112,0.11785113019775789
211,211,224.037,E5,2,0.0625,16,MM noC,PA14 dphz,1,1,12/3/21,0.9861111111111112,0.11785113019775789
213,213,74.668,E6,2,0.03125,32,MM noC,PA14 dphz,1,1,12/3/21,0.9861111111111112,0.11785113019775789
214,214,149.35,E6,2,0.03125,32,MM noC,PA14 dphz,1,1,12/3/21,0.9861111111111112,0.11785113019775789
215,215,224.037,E6,2,0.03125,32,MM noC,PA14 dphz,1,1,12/3/21,0.9861111111111112,0.11785113019775789
217,217,74.668,E7,14,1.0,1,MM noC,PA14 dphz dside,1,1,12/3/21,12.98611111111111,0.11785113019775789
218,218,149.35,E7,14,1.0,1,MM noC,PA14 dphz dside,1,1,12/3/21,12.98611111111111,0.11785113019775789
219,219,224.037,E7,14,1.0,1,MM noC,PA14 dphz dside,1,1,12/3/21,12.98611111111111,0.11785113019775789
221,221,74.668,E8,9,0.5,2,MM noC,PA14 dphz dside,1,1,12/3/21,7.986111111111111,0.11785113019775789
222,222,149.35,E8,9,0.5,2,MM noC,PA14 dphz dside,1,1,12/3/21,7.986111111111111,0.11785113019775789
223,223,224.037,E8,9,0.5,2,MM noC,PA14 dphz dside,1,1,12/3/21,7.986111111111111,0.11785113019775789
225,225,74.668,E9,5,0.25,4,MM noC,PA14 dphz dside,1,1,12/3/21,3.986111111111111,0.11785113019775789
226,226,149.35,E9,6,0.25,4,MM noC,PA14 dphz dside,1,1,12/3/21,4.986111111111111,0.11785113019775789
227,227,224.037,E9,6,0.25,4,MM noC,PA14 dphz dside,1,1,12/3/21,4.986111111111111,0.11785113019775789
229,229,74.668,E10,3,0.125,8,MM noC,PA14 dphz dside,1,1,12/3/21,1.9861111111111112,0.11785113019775789
230,230,149.35,E10,3,0.125,8,MM noC,PA14 dphz dside,1,1,12/3/21,1.9861111111111112,0.11785113019775789
231,231,224.037,E10,4,0.125,8,MM noC,PA14 dphz dside,1,1,12/3/21,2.986111111111111,0.11785113019775789
233,233,74.668,E11,2,0.0625,16,MM noC,PA14 dphz dside,1,1,12/3/21,0.9861111111111112,0.11785113019775789
234,234,149.35,E11,2,0.0625,16,MM noC,PA14 dphz dside,1,1,12/3/21,0.9861111111111112,0.11785113019775789
235,235,224.037,E11,2,0.0625,16,MM noC,PA14 dphz dside,1,1,12/3/21,0.9861111111111112,0.11785113019775789
237,237,74.668,E12,2,0.03125,32,MM noC,PA14 dphz dside,1,1,12/3/21,0.9861111111111112,0.11785113019775789
238,238,149.35,E12,2,0.03125,32,MM noC,PA14 dphz dside,1,1,12/3/21,0.9861111111111112,0.11785113019775789
239,239,224.037,E12,2,0.03125,32,MM noC,PA14 dphz dside,1,1,12/3/21,0.9861111111111112,0.11785113019775789
241,241,74.668,F1,18,1.0,1,MM noC,PA14 dphz,1,1,12/3/21,16.98611111111111,0.11785113019775789
242,242,149.35,F1,18,1.0,1,MM noC,PA14 dphz,1,1,12/3/21,16.98611111111111,0.11785113019775789
243,243,224.037,F1,17,1.0,1,MM noC,PA14 dphz,1,1,12/3/21,15.98611111111111,0.11785113019775789
245,245,74.668,F2,9,0.5,2,MM noC,PA14 dphz,1,1,12/3/21,7.986111111111111,0.11785113019775789
246,246,149.35,F2,10,0.5,2,MM noC,PA14 dphz,1,1,12/3/21,8.98611111111111,0.11785113019775789
247,247,224.037,F2,10,0.5,2,MM noC,PA14 dphz,1,1,12/3/21,8.98611111111111,0.11785113019775789
249,249,74.668,F3,5,0.25,4,MM noC,PA14 dphz,1,1,12/3/21,3.986111111111111,0.11785113019775789
250,250,149.35,F3,5,0.25,4,MM noC,PA14 dphz,1,1,12/3/21,3.986111111111111,0.11785113019775789
251,251,224.037,F3,5,0.25,4,MM noC,PA14 dphz,1,1,12/3/21,3.986111111111111,0.11785113019775789
253,253,74.668,F4,3,0.125,8,MM noC,PA14 dphz,1,1,12/3/21,1.9861111111111112,0.11785113019775789
254,254,149.35,F4,4,0.125,8,MM noC,PA14 dphz,1,1,12/3/21,2.986111111111111,0.11785113019775789
255,255,224.037,F4,4,0.125,8,MM noC,PA14 dphz,1,1,12/3/21,2.986111111111111,0.11785113019775789
257,257,74.668,F5,2,0.0625,16,MM noC,PA14 dphz,1,1,12/3/21,0.9861111111111112,0.11785113019775789
258,258,149.35,F5,2,0.0625,16,MM noC,PA14 dphz,1,1,12/3/21,0.9861111111111112,0.11785113019775789
